Contest,ElectionLvl,ElectionType,Grain,Year,Address,State,County,HHL50K,HH50100K,HHRent,HHMedRent,OOMedP,DEM,AsianPacIsl,Hispanic,Female,NpaReg,SqMiles,HVMean,DemReg,RepReg,HH,F,FMeanInc,FIncL50K,FInc50100K,NFMeanInc,RegVoters,REP,WRI,OVER,UNDER,under25,btwn2544,btwn4564,over65,Shape_Length,Shape_Area
U.S. Senate,Federal,General,Precinct,2018,14747 Balm Wimauma Rd,FL,Hillsborough,282,383,181,31,17,838,43,390,1205,754,18.90,213258,747,871,985,752,98436,177,294,48384,3878,1313,6,0,3,312,798,937,349,0.193973668,0.002978235
U.S. Senate,Federal,General,Precinct,2018,14801 Livingston Ave,FL,Hillsborough,443,124,434,31,14,852,29,268,844,523,0.71,99432,736,410,624,290,51979,178,66,32122,2501,528,8,0,21,225,585,573,299,0.194282392,0.002986926
U.S. Senate,Federal,General,Precinct,2018,15520 N Boulevard,FL,Hillsborough,315,166,218,22,20,684,27,117,877,310,0.68,205598,491,843,628,407,94424,152,121,44962,2393,1064,5,0,18,113,316,620,603,0.194292316,0.002987205
U.S. Senate,Federal,General,Precinct,2018,15550 Spring Pine Dr,FL,Hillsborough,252,243,215,26,18,614,37,207,693,356,0.70,250226,428,508,714,476,108597,117,170,62210,1958,629,2,0,15,112,394,470,320,0.194291098,0.002987171
U.S. Senate,Federal,General,Precinct,2018,15728 Country Lake Dr,FL,Hillsborough,260,225,208,25,20,1368,103,556,1400,747,0.63,237712,998,927,698,452,101443,120,155,54842,4083,1296,11,1,36,280,762,1088,557,0.194291979,0.002987196
U.S. Senate,Federal,General,Precinct,2018,15820 Morris Bridge Rd,FL,Hillsborough,199,226,260,19,20,3900,721,697,2917,1925,2.62,414935,2178,1648,723,555,124709,116,173,58646,9537,2330,27,2,35,755,2044,2265,727,0.192906784,0.002888764
U.S. Senate,Federal,General,Precinct,2018,16101 Compton Dr,FL,Hillsborough,242,150,333,24,16,1310,136,229,1118,624,1.79,527626,837,749,572,313,136073,84,79,46587,3309,985,6,0,14,278,634,902,413,0.194298451,0.002987378
U.S. Senate,Federal,General,Precinct,2018,1615 N Hubert Ave,FL,Hillsborough,203,90,164,31,20,1364,63,182,1005,571,0.61,248688,984,366,376,191,80772,86,47,44601,3153,509,3,1,17,307,858,496,277,0.20953998,0.002944954
U.S. Senate,Federal,General,Precinct,2018,16235 Lake Magdalene Blvd,FL,Hillsborough,340,150,246,23,21,649,24,210,647,349,0.65,181663,514,384,607,367,84732,156,106,39998,1935,493,2,0,12,114,394,473,274,0.194292458,0.002987209
U.S. Senate,Federal,General,Precinct,2018,1630 US Highway 41 S,FL,Hillsborough,436,290,263,32,19,337,6,88,492,269,3.31,149823,269,354,896,671,66073,292,231,43929,1465,551,2,0,11,42,95,249,510,0.193918584,0.002976684
U.S. Senate,Federal,General,Precinct,2018,17004 Dorman Rd,FL,Hillsborough,333,372,318,29,20,3486,241,739,4057,2357,4.52,331838,1804,3691,1548,1300,140273,197,333,60014,13449,5473,20,0,56,997,2781,3310,816,0.194049745,0.002980377
U.S. Senate,Federal,General,Precinct,2018,17112 Livingston Ave,FL,Hillsborough,299,197,238,28,19,745,32,176,953,412,1.54,256525,621,772,701,389,117830,93,124,55415,2668,1014,9,1,18,177,472,768,396,0.194314688,0.002987835
U.S. Senate,Federal,General,Precinct,2018,1720 St Cloud Ave,FL,Hillsborough,243,263,112,27,19,994,103,284,1374,684,0.90,185947,732,1263,734,577,94619,143,220,49420,3994,1604,10,0,22,302,695,1159,544,0.194118404,0.00298231
U.S. Senate,Federal,General,Precinct,2018,17302 Commerce Park Blvd,FL,Hillsborough,194,153,242,24,17,1747,270,400,1458,928,2.23,298443,1109,705,606,424,136149,96,98,41963,4407,981,6,0,20,472,1093,932,259,0.194326205,0.002988159
U.S. Senate,Federal,General,Precinct,2018,17808 Wayne Rd,FL,Hillsborough,182,179,225,17,20,913,76,181,1079,520,2.74,441208,561,960,632,442,153650,61,120,51006,3133,1331,4,0,19,202,509,970,370,0.194332134,0.002988326
U.S. Senate,Federal,General,Precinct,2018,17875 Sailfish Dr,FL,Hillsborough,233,197,312,21,19,747,17,268,778,422,1.90,401600,532,385,694,440,147705,75,122,59593,2090,511,2,0,15,176,469,478,229,0.19433366,0.002988369
U.S. Senate,Federal,General,Precinct,2018,17928 Gunn Hwy,FL,Hillsborough,220,184,293,18,19,1245,67,174,1674,750,2.29,443266,802,1796,673,431,156676,63,113,57503,5117,2491,12,2,19,332,676,1570,789,0.194329702,0.002988257
U.S. Senate,Federal,General,Precinct,2018,1801 N Lincoln Ave,FL,Hillsborough,224,97,201,34,20,1628,38,1432,1662,858,0.31,209137,1636,688,399,186,78924,93,47,45190,4632,885,8,0,35,359,924,990,923,0.194160601,0.002983498
U.S. Senate,Federal,General,Precinct,2018,1801 S Miller Rd,FL,Hillsborough,209,248,107,27,19,1573,106,388,2115,971,0.77,192136,1165,1980,683,548,96256,130,207,50846,5969,2474,14,1,24,420,1044,1793,879,0.194114819,0.002982209
U.S. Senate,Federal,General,Precinct,2018,1807 Gangway Loop,FL,Hillsborough,413,255,213,32,17,481,11,182,610,371,3.88,133242,385,425,819,589,65689,257,201,42037,2009,667,13,0,11,128,232,406,420,0.195520873,0.002971649
U.S. Senate,Federal,General,Precinct,2018,1900 Clubhouse Dr,FL,Hillsborough,477,249,167,33,18,2219,43,106,2461,1028,1.60,147557,1315,1803,837,434,69768,165,174,36650,6639,2894,15,3,51,22,71,661,3425,0.193924554,0.002976852
U.S. Senate,Federal,General,Precinct,2018,1902 S Village Ave,FL,Hillsborough,272,141,191,28,19,673,17,253,718,429,0.44,186288,581,424,539,344,85021,134,102,46320,2199,538,7,1,12,128,412,579,329,0.194261333,0.002986333
U.S. Senate,Federal,General,Precinct,2018,1904 S Park Rd,FL,Hillsborough,338,171,221,32,21,1338,12,306,1278,538,1.34,153273,1329,420,558,393,54873,209,139,28823,3438,550,7,1,13,318,781,738,459,0.194197322,0.002984532
U.S. Senate,Federal,General,Precinct,2018,1906 Bloomingdale Ave,FL,Hillsborough,170,198,98,25,18,188,4,25,211,114,0.77,212826,116,214,627,525,104553,116,172,54364,654,248,4,1,4,42,133,173,99,0.19409848,0.002981749
U.S. Senate,Federal,General,Precinct,2018,1910 S Pebble Beach Blvd,FL,Hillsborough,463,248,139,32,18,1171,18,37,1274,564,1.73,142020,530,1217,811,420,67776,161,173,35816,3732,1963,9,0,24,14,32,484,1802,0.193912804,0.002976521
U.S. Senate,Federal,General,Precinct,2018,19911 Bruce B Downs Blvd,FL,Hillsborough,211,230,238,22,19,2221,335,581,2014,1265,1.31,252349,1440,1212,857,659,127988,135,157,72959,6199,1586,8,0,31,461,1270,1544,662,0.186059659,0.002479014
U.S. Senate,Federal,General,Precinct,2018,200 Kingsway Rd,FL,Hillsborough,247,225,161,28,18,1261,119,511,1391,739,0.52,147148,991,964,589,418,74625,138,174,44036,4172,1256,10,0,19,263,759,1105,582,0.194143182,0.002983008
U.S. Senate,Federal,General,Precinct,2018,2001 N Park Rd,FL,Hillsborough,345,185,220,30,19,157,2,92,302,171,1.54,127588,189,231,578,404,56024,214,147,30577,884,334,6,0,4,73,155,227,137,0.194231669,0.002985498
U.S. Senate,Federal,General,Precinct,2018,2014 Providence Rd,FL,Hillsborough,497,451,646,29,19,1068,66,377,1158,639,0.77,154122,880,732,1157,715,72005,288,270,50680,3282,911,5,0,11,233,710,972,353,0.194106149,0.002981965
U.S. Senate,Federal,General,Precinct,2018,203 N Moon Ave,FL,Hillsborough,290,235,252,26,17,777,41,336,898,458,0.51,138087,695,494,630,418,72693,157,167,43537,2451,640,5,0,21,190,507,564,400,0.194143093,0.002983005
U.S. Senate,Federal,General,Precinct,2018,2101 E M L K Jr Blvd,FL,Hillsborough,230,79,175,39,21,1703,8,218,1372,505,0.29,110005,1762,92,339,180,48859,117,46,34089,3619,103,11,0,34,370,852,748,397,0.194182626,0.002984118
